kana,romaji,meaning
あう,au,"to meet, to see"
あお,ao,blue
あおい,aoi,blue
あか,aka,red
あかい,akai,red
あかるい,akarui,bright (in reference to personality or weather); cheerful
あき,aki,fall (season)
あく,aku,"to open, to become open"
あける,akeru,to open (v.t.)
あげる,ageru,"to raise, to lift"
あさ,asa,morning
あさごはん,asagohan,breakfast
あさって,asatte,day after tomorrow
あし,ashi,foot; leg
あした,ashita,tomorrow
あそこ,asoko,"there, over there, that place"
あそぶ,asobu,to play; to spend time pleasantly; to hang out
あたたかい,atatakai,warm
あたま,atama,head
あたらしい,atarashii,new
あちら,achira,this way (polite)
あつい,atsui,"hot (in reference to weather), warm"
あつい,atsui,hot (objects)
あつい,atsui,"kind, warm(hearted), thick, deep"
あっち,acchi,over there
あと,ato,afterwards (later); in the future; the rest; since then
あなた,anata,you
あに,ani,(my) older brother (humble)
あね,ane,(my) older sister (humble)
アパート,apaato,apartment (abbr.)
あの,ano,"that over there; like that, that way; um..."
あびる,abiru,"to bathe, to shower"
あぶない,abunai,"dangerous, critical"
あまい,amai,"generous, sweet"
あまり,amari,not very; surplus
あめ,ame,rain
あめ,ame,(hard) candy
あらう,arau,to wash
ある,aru,"to be, to have"
ある,aru,"to be, to have"
あるく,aruku,to walk
あれ,are,that one (over there)
いい,ii,good
いいえ,iie,"no, not at all"
いう,iu,to say
いえ,ie,"house, home"
いかが,ikaga,"how, in what way"
いく,iku,to go
いくつ,ikutsu,"how many, how old"
いくら,ikura,"how much, how many"
いけ,ike,pond
いしゃ,isha,doctor; physician
いす,isu,chair
いそがしい,isogashii,"busy (people, days)"
いたい,itai,hurt; painful; sore
いち,ichi,one
いちにち,ichinichi,one day (duration)
いちばん,ichiban,"best (most), first, number one"
いつ,itsu,when
いつか,itsuka,five days; fifth day of the month
いっしょ,issho,together
いつつ,itsutsu,five things
いつも,itsumo,"always, usually, every time, never (with neg. verb)"
いぬ,inu,dog
いま,ima,now
いみ,imi,"meaning, significance"
いもうと,imouto,younger sister (humble)
いや,iya,"disagreeable, detestable, unpleasant"
いりぐち,iriguchi,entrance
いる,iru,"(humble) to be (animate), to exist"
いる,iru,to need
いれる,ireru,to put in
いろ,iro,color
いろいろ,iroiro,various
うえ,ue,"above (up, top, etc.), over, on top of"
うしろ,ushiro,"back, behind, rear"
うすい,usui,"thin, weak"
うた,uta,a song
うたう,utau,to sing
うち,uchi,home; house; my place
うまれる,umareru,to be born
うみ,umi,"sea, beach"
うる,uru,to sell (v.t.)
うるさい,urusai,noisy; annoying
うわぎ,uwagi,"coat, jacket"
え,e,a painting; a picture; a drawing
えいが,eiga,"movie, film"
えいがかん,eigakan,"movie theater, cinema"
えいご,eigo,English (language)
ええ,ee,yes
えき,eki,station
エレベーター,erebeetaa,elevator
えん,en,Yen
えんぴつ,enpitsu,pencil
おいしい,oishii,"delicious, tasty"
おおい,ooi,many; there are a lot
おおきい,ookii,"big, large"
おおきな,ookina,big
おおぜい,oozei,great number of people
おかあさん,okaasan,mother (formal)
おかし,okashi,"confections, sweets, snack"
おかね,okane,money
おきる,okiru,"to get up (e.g., from sleeping); to happen"
おく,oku,to put; to lay; to place
おくさん,okusan,(someone else's) wife (hon.)
おさけ,osake,sake; alcohol
おさら,osara,"plate, dish"
おじさん,ojisan,"uncle, middle-aged man"
おじいさん,ojiisan,"grandfather, male senior citizen"
おしえる,oshieru,"to teach, to inform, to instruct"
おす,osu,"to push, to press, to stamp (e.g., a passport)"
おそい,osoi,slow; (to be) late
おちゃ,ocha,(green) tea
おてあらい,otearai,"toilet, restroom, bathroom (lit., a place to wash one's hands)"
おとうさん,otousan,father (formal)
おとうと,otouto,younger brother
おとこ,otoko,"man, male"
おとこのこ,otokonoko,boy
おととい,ototoi,the day before yesterday
おととし,ototoshi,year before last
おとな,otona,adult
おなか,onaka,stomach
おなじ,onaji,"same, identical"
おにいさん,oniisan,(someone else's) older brother (formal)
おねえさん,oneesan,older sister (formal)
おばさん,obasan,aunt
おばあさん,obaasan,"grandmother, female senior-citizen"
おふろ,ofuro,a bath
おべんとう,obentou,a boxed lunch
おぼえる,oboeru,"to learn, to commit to memory, to remember, to memorize"
おまわりさん,omawarisan,policeman (friendly term)
おもい,omoi,heavy; serious
おもしろい,omoshiroi,"interesting, amusing"
およぐ,oyogu,to swim
おりる,oriru,to get off
おわる,owaru,"to finish, to close"
おんがく,ongaku,Music
おんな,on'na,"woman, female"
おんなのこ,on'nanoko,girl
がいこく,gaikoku,foreign country; abroad
がいこくじん,gaikokujin,foreigner
かいしゃ,kaisha,"company, corporation"
かいだん,kaidan,stairs
かいもの,kaimono,shopping
かう,kau,to buy
かえす,kaesu,to return something
かえる,kaeru,"to go back, to go home, to return"
かお,kao,face (body part)
かかる,kakaru,"it takes (amount of time, money) (v.i.)"
かぎ,kagi,a lock; a key
かく,kaku,to write
がくせい,gakusei,student
かける,kakeru,"to put on (e.g., glasses); to hang (e.g., on a wall)"
かける,kakeru,"to dial/call (e.g., phone); to sit down"
かさ,kasa,"umbrella, parasol"
かす,kasu,to lend
かぜ,kaze,"wind, breeze"
かぜ,kaze,"cold, flu"
かた,kata,-- honorific form for 人 (ひと) --; way of doing
かぞく,kazoku,"family, members of a family"
かたかな,katakana,katakana
がっこう,gakkou,a school
カップ,kappu,cup
かてい,katei,home; family
かど,kado,"corner (e.g., desk, pavement)"
かばん,kaban,"bag, basket"
かびん,kabin,(flower) vase
かぶる,kaburu,"to wear, to put on (e.g., a hat on the head)"
かみ,kami,paper
カメラ,kamera,camera
かようび,kayoubi,Tuesday
からい,karai,hot and spicy; salty
からだ,karada,body; health
かりる,kariru,"to borrow, to owe"
かるい,karui,"light, non-serious, minor"
カレー,karee,curry (abbr. for curry and rice)
カレンダー,karendaa,calendar
かわ,kawa,river
かわいい,kawaii,"cute, adorable"
かんじ,kanji,kanji; Chinese character
き,ki,"tree, wood, timber"
きいろ,kiiro,yellow
きいろい,kiiroi,yellow
きえる,kieru,"to vanish, to disappear"
きく,kiku,"to hear, to listen, to ask"
きた,kita,north
ギター,gitaa,guitar
きたない,kitanai,"dirty, unclean, filthy"
きっさてん,kissaten,café
きって,kitte,postal (postage) stamps
きっぷ,kippu,a ticket
きのう,kinou,yesterday
きゅう,kyuu,nine
ぎゅうにく,gyuuniku,beef
ぎゅうにゅう,gyuunyuu,milk
きょう,kyou,"today, this day"
きょうしつ,kyoushitsu,classroom
きょうだい,kyoudai,"siblings (humble), brothers and sisters"
きょねん,kyonen,last year
きらい,kirai,dislike
きる,kiru,to cut; to hang up (a phone)
きる,kiru,to put on (clothes above your waist); to wear
きれい,kirei,"pretty, clean, tidy"
キログラム,kiroguramu,(abbr.) kilo (kilogram)
キロメートル,kiromeetoru,(abbr.) kilo (kilometer)
ぎんこう,ginkou,bank
きんようび,kinyoubi,Friday
く,ku,nine
くすり,kusuri,medicine
ください,kudasai,(with te-form verb) please do for me
くだもの,kudamono,fruit
くち,kuchi,job opening; mouth
くつ,kutsu,"shoes, footwear"
くつした,kutsushita,socks
くに,kuni,country; place of origin
くもり,kumori,"cloudiness, cloudy weather"
くもる,kumoru,"to become cloudy, to become dim"
くらい,kurai,"dark, gloomy"
クラス,kurasu,a class
グラム,guramu,gram
くる,kuru,to come
くるま,kuruma,"car, vehicle"
くろ,kuro,black
くろい,kuroi,black; dark
けいかん,keikan,police officer
けさ,kesa,this morning
けす,kesu,"to erase, to delete, to turn off power"
けっこう,kekkou,"splendid; enough, tolerably"
けっこん (する),kekkon (suru),marriage (get married)
げつようび,getsuyoubi,Monday
げんかん,genkan,entrance (to a house or a building)
げんき,genki,"health(y), energetic"
ご,go,five
こうえん,kouen,a park
こうさてん,kousaten,intersection
こうちゃ,koucha,black tea
こうばん,kouban,police box
こえ,koe,voice
コート,kootoo,"coat; court (e.g., tennis)"
コーヒー,koohii,coffee
ここ,koko,"here, this place"
ごご,gogo,"afternoon, P.M."
ここのか,kokonoka,nine days; ninth day of the month
ここのつ,kokonotsu,nine things
ごぜん,gozen,"morning, A.M."
こたえる,kotaeru,"to answer, to reply"
こちら,kochira,this person (polite); this way (polite)
こっち,kocchi,this person; this direction; this side
コップ,koppu,a tumbler; a glass
ことし,kotoshi,this year
ことば,kotoba,language; word(s); expression(s)
こども,kodomo,child(ren)
この,kono,this
ごはん,gohan,rice (cooked); meal
コピーする,kopiisuru,to copy
こまる,komaru,"to be bothered, to have difficulty"
これ,kore,this one
こんげつ,kongetsu,this month
こんしゅう,konshuu,this week
こんな,konna,"such, like this"
こんばん,konban,"tonight, this evening"
さあ,saa,"come now, well"
さいふ,saifu,wallet
さかな,sakana,fish
さき,saki,"future; recent, previous"
さく,saku,to bloom
さくぶん,sakubun,essay; composition
さす,sasu,"to raise (stretch out) hands, to raise (e.g., umbrella)"
ざっし,zasshi,"magazine, journal"
さとう,satou,sugar
さむい,samui,cold (in reference to weather)
さらいねん,sarainen,year after next
さん,san,three
さんぽする,sanposuru,"walk, stroll"
し,shi,four
しお,shio,salt
しかし,shikashi,however; but
じかん,jikan,time
しごと,shigoto,"work, job, occupation, employment"
じしょ,jisho,dictionary
しずか,shizuka,"quiet, calm"
した,shita,"under, below, beneath"
しち,shichi,seven
しつもん,shitsumon,"question, inquiry"
じてんしゃ,jitensha,bicycle
じどうしゃ,jidousha,automobile
しぬ,shinu,to die
じびき,jibiki,dictionary
じぶん,jibun,"myself, oneself"
しまる,shimaru,"to close, to be closed"
